Code Domaine,Domaine,Code Pays,Pays,Code Élément,Élément,Code Produit,Produit,Code Année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires","2","Afghanistan","5511","Production","2511","Blé","2013","2013","Milliers de tonnes","5169","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5611","Importations - Quantité","2511","Blé","2013","2013","Milliers de tonnes","1173","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5072","Variation de stock","2511","Blé","2013","2013","Milliers de tonnes","-350","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5301","Disponibilité intérieure","2511","Blé","2013","2013","Milliers de tonnes","5992","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5527","Semences","2511","Blé","2013","2013","Milliers de tonnes","322","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5123","Pertes","2511","Blé","2013","2013","Milliers de tonnes","775","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5142","Nourriture","2511","Blé","2013","2013","Milliers de tonnes","4895","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2511","Blé","2013","2013","kg","160.23","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","2511","Blé","2013","2013","Kcal/personne/jour","1369","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2511","Blé","2013","2013","g/personne/jour","36.91","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2511","Blé","2013","2013","g/personne/jour","4.69","Fc","Donnée calculée"
"FBS","Bilans Alimentaires","2","Afghanistan","5511","Production","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","342","S","Données standardisées"
"FBS","Bilans Alimentaires","2","Afghanistan","5611","Importations - Quantité","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","119","S","Données standardisées"
