Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","004","Afghanistan","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","38972.23","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","004","Afghanistan","512","Hommes","3010","Population-Estimations","2020","2020","1000 personnes","19692.301","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","004","Afghanistan","513","Femmes","3010","Population-Estimations","2020","2020","1000 personnes","19279.93","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","004","Afghanistan","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","28150.604","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","004","Afghanistan","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","9904.337","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","58801.927","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","512","Hommes","3010","Population-Estimations","2020","2020","1000 personnes","28580.784","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","513","Femmes","3010","Population-Estimations","2020","2020","1000 personnes","30221.143","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","19170.34","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","39550.889","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","2866.849","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","512","Hommes","3010","Population-Estimations","2020","2020","1000 personnes","1433.767","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","513","Femmes","3010","Population-Estimations","2020","2020","1000 personnes","1433.082","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","1114.672","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","1827.362","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","012","Algérie","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","43451.666","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","012","Algérie","512","Hommes","3010","Population-Estimations","2020","2020","1000 personnes","22132.899","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","012","Algérie","513","Femmes","3010","Population-Estimations","2020","2020","1000 personnes","21318.767","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","012","Algérie","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","11382.345","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","012","Algérie","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","31950.91","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","276","Allemagne","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","83328.988","X","Ciffre de sources internationales",""
