"""#### EXPORT DONNEES METEO POUR ""ORLéANS"" (LAT/LON: 47.902964/1.909251)"
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt"""
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION
2009-01-01,3,-2,14,-1,3,-2,0,91,6.75,1028,18.625,3,0,-5,143,113,113,0,1,8.7,météo très défavorable
2009-01-02,1,-3,19,-3,1,-2,0,84,10,1027,10.25,1,0,-8,113,113,113,0,1,8.7,météo très défavorable
2009-01-03,1,-3,22,-2,1,-3,0,85,10,1026,14,1,0,-8,113,113,113,0,1,8.7,météo très défavorable
2009-01-04,-1,-5,8,-5,-1,-4,0,68,10,1026,29.875,0,0,-7,113,116,119,0,1,6.9,météo très défavorable
2009-01-05,-1,-5,12,-4,-1,-2,1.8,85,8,1021,72.875,0,0,-7,116,122,122,1.5,1,3.3,météo très défavorable
2009-01-06,-3,-5,21,-4,-3,-5,0,91,10,1022,89.75,0,0,-11,119,122,122,0,1,3.3,météo très défavorable
2009-01-07,-4,-8,20,-8,-4,-6,0,78,10,1026,29.5,0,0,-15,113,113,113,0,1,8.7,météo très défavorable
2009-01-08,-1,-6,23,-4,-1,-5,0,91,10,1027,20.75,0,0,-10,116,113,113,0,1,8.7,météo très défavorable
2009-01-09,-2,-8,10,-8,-2,-5,0,81,10,1028,0.5,1,0,-8,113,113,113,0,1,8.7,météo très défavorable
2009-01-10,0,-6,7,-6,0,-3,0,78,10,1030,1.375,2,0,-6,113,113,113,0,1,8.7,météo très défavorable
2009-01-11,2,-4,11,-3,2,-0,0,66,10,1032,2.625,3,0,-6,113,113,113,0,1,8.7,météo très défavorable
2009-01-12,3,-2,20,-2,2,1,0,79,10,1030,16.125,3,0,-5,113,113,113,0,1,8.7,météo très défavorable
2009-01-13,3,0,15,1,3,2,0.4,85,9.375,1019,61.125,3,2,-4,116,119,122,0,1,3.3,météo très défavorable
2009-01-14,4,-1,11,-0,4,-1,0,95,3.25,1018,57,4,3,-3,260,116,143,0,1,6.9,météo très défavorable
2009-01-15,5,-1,17,-0,5,1,0,87,9,1019,23.375,5,0,-4,113,113,116,0,1,8.7,météo très défavorable
2009-01-16,5,-0,15,0,5,3,0.2,92,8.75,1021,64.125,5,4,-3,113,116,248,0,1,6.9,météo très défavorable
2009-01-17,8,4,24,5,7,8,0.4,95,6.5,1020,90.875,8,8,1,119,122,122,0,1,3.4,météo très défavorable
2009-01-18,8,5,40,7,8,5,5.6,92,9.375,1012,52.875,8,7,3,200,113,113,0,1,6.9,météo très défavorable
2009-01-19,9,4,45,8,9,6,2.9,90,9.75,1007,79.125,9,8,3,122,119,116,0,1,3.4,météo très défavorable
2009-01-20,5,2,18,2,5,3,0.1,94,9,1001,48,5,3,-2,113,122,143,0,1,3.4,météo très défavorable
2009-01-21,4,1,12,1,3,1,0.3,94,6.75,1011,70.875,4,2,-0,200,119,143,0,1,5.2,météo très défavorable
2009-01-22,8,2,38,3,5,7,6.9,96,7.5,1008,94,8,7,-2,119,122,122,0,1,3.4,météo très défavorable
2009-01-23,11,3,50,11,9,5,2.3,88,9.75,993,68.125,11,10,2,122,119,116,0,1,5.2,météo très défavorable
2009-01-24,4,1,32,2,2,2,2,98,9.75,1002,72.625,4,3,-4,122,122,113,0,1,3.4,météo très défavorable
2009-01-25,6,1,27,1,6,5,1.4,90,8.875,1001,73.625,6,4,-3,116,122,122,0,1,5.2,météo très défavorable
2009-01-26,7,1,10,2,5,2,0,93,5.5,1007,58.75,7,4,0,248,116,113,0,1,6.9,météo très défavorable
2009-01-27,5,-0,8,-0,5,1,0,86,7,1017,37.625,5,2,0,143,119,116,0,1,6.9,météo très défavorable
